unidade,mes,tipo_exame,pacientes_dia,exames_realizados,turno_mais_movimentado,temp_medio_exame,protocolo_emergencia,direcao_centrifuga,quantidade_refrigeradores,alinhamento_refrigeradores,cor_parede_laboratorio,cor_parede_coleta,aromatizador_eucalipto,cheiro_ambiente,musica_ambiente,cor_jaleco_funcionario,elemento_decorativo,janela_virada_para,hora_inicio_turno,cpf_biomedico,mes_nascimento_biomedico,dia_fechamento,chefe_setor,tipo_refrigeracao,tempo_entrega_resultado
Unidade E,mai/2025,urina,43,59,manhã,19.2,sim,sul,3,dispersos,branca,laranja,não,nenhum,nenhuma,azul_bebe,vaso_bambu,nenhuma,9,60859803804,out,4,Eduardo,controlada,30.94
Unidade C,dez/2024,sangue,54,42,tarde,20.2,sim,norte,3,dispersos,grafite,verde,não,nenhum,jazz,verde_limao,cacto,nenhuma,6,28097803223,mai,19,Nina,climatizada,39.58
Unidade E,jun/2025,genético,49,62,tarde,16.2,não,leste,3,dispersos,amarela,laranja,não,nenhum,rock,verde_limao,cacto,leste,12,21221582456,abr,21,Eduardo,seca,44.99
Unidade C,mai/2024,,52,76,manhã,23.1,sim,oeste,2,em_L,azul_cobalto,azul_cobalto,sim,eucalipto,jazz,branco,nenhum,leste,9,58938819604,jan,1,Carlos,controlada,34.0
Unidade E,mai/2024,covid,55,66,noite,10.2,não,norte,1,em_L,vinho,verde,não,nenhum,pagode_90s,azul_bebe,nenhum,sul,8,41736481505,nov,10,Carlos,climatizada,26.04
Unidade C,set/2024,covid,41,72,tarde,26.7,não,leste,2,dispersos,branca,roxa,não,lavanda,nenhuma,verde_limao,nenhum,norte,9,72621420043,abr,22,Carlos,seca,29.9
Unidade A,jun/2024,urina,44,63,tarde,25.5,,leste,2,lado_a_lado,laranja,amarela,não,nenhum,nenhuma,branco,samambaia,oeste,6,11147298624,mai,15,Marcos,umida,27.82
Unidade D,mai/2025,sangue,53,66,manhã,23.1,não,leste,1,lado_a_lado,azul,laranja,sim,café,nenhuma,vinho,cacto,leste,6,46216416822,jun,18,Bianca,umida,23.37
Unidade B,fev/2024,genético,51,50,noite,22.6,sim,oeste,2,dispersos,amarela,amarela,não,lavanda,nenhuma,branco,samambaia,norte,10,43394665640,set,30,Ana,umida,57.09
Unidade E,jul/2025,sangue,52,52,tarde,18.8,não,sul,2,dispersos,branca,roxa,não,eucalipto,jazz,branco,cacto,oeste,8,42451919132,jul,27,Carlos,seca,26.22
Unidade C,jul/2024,covid,45,46,tarde,16.2,não,sul,4,lado_a_lado,amarela,verde,não,café,rock,vinho,nenhum,leste,11,15268830543,fev,7,Bianca,climatizada,26.92
Unidade E,dez/2025,??!!##,42,51,manhã,15.3,não,oeste,1,lado_a_lado,cinza,verde,não,eucalipto,pagode_90s,vinho,vaso_bambu,norte,10,25743985189,dez,23,Julia,controlada,28.47
Unidade E,abr/2024,sangue,54,64,tarde,22.3,não,leste,4,dispersos,grafite,branca,não,café,jazz,azul_bebe,nenhum,leste,11,78319458749,fev,7,Marcos,controlada,26.5
Unidade E,jul/2024,covid,49,63,noite,23.1,não,sul,4,em_L,laranja,azul_cobalto,não,café,nenhuma,azul_bebe,vaso_bambu,nenhuma,12,60153787967,out,27,Marcos,seca,27.95
Unidade D,jan/2025,covid,53,71,manhã,17.2,não,sul,2,em_L,grafite,amarela,não,lavanda,rock,azul_bebe,nenhum,leste,11,80709944967,nov,16,Nina,climatizada,27.24
Unidade C,ago/2025,urina,65,45,noite,19.9,não,oeste,3,lado_a_lado,cinza,laranja,não,eucalipto,nenhuma,azul_bebe,cacto,oeste,10,17751503736,mai,2,Julia,umida,23.38
Unidade C,jan/2025,alergia,39,57,manhã,14.3,não,oeste,2,dispersos,azul_cobalto,laranja,não,lavanda,nenhuma,vinho,samambaia,leste,8,65066929771,mai,30,Ana,seca,38.51
Unidade C,jul/2025,sangue,52,73,tarde,15.8,não,oeste,1,dispersos,branca,roxa,sim,eucalipto,rock,vinho,vaso_bambu,leste,12,68210235859,fev,26,1234,seca,22.73
Unidade C,dez/2024,alergia,50,56,tarde,11.2,não,norte,2,em_L,vinho,amarela,não,nenhum,jazz,verde_limao,vaso_bambu,nenhuma,11,69259833069,jul,1,José,climatizada,37.35
Unidade D,abr/2024,sangue,52,72,tarde,12.1,não,leste,3,dispersos,grafite,branca,não,café,jazz,branco,vaso_bambu,sul,9,69622104051,ago,5,Eduardo,umida,23.2
Unidade B,set/2025,imagem,48,61,manhã,21.4,não,sul,3,lado_a_lado,grafite,roxa,não,lavanda,nenhuma,verde_limao,cacto,sul,6,78629950550,dez,25,Ana,umida,35.27
Unidade C,ago/2025,sangue,54,58,tarde,26.2,não,norte,1,dispersos,cinza,roxa,não,café,nenhuma,vinho,cacto,nenhuma,9,62615823506,jan,6,Nina,climatizada,25.33
Unidade D,nov/2025,,53,82,noite,,não,sul,1,lado_a_lado,cinza,branca,não,lavanda,rock,verde_limao,nenhum,norte,10,10598595617,set,1,Bianca,seca,26.61
Unidade A,dez/2025,covid,42,63,tarde,,,norte,4,dispersos,grafite,azul_cobalto,não,café,rock,vinho,nenhum,leste,10,10009428864,mai,21,José,controlada,33.37
Unidade B,mai/2025,sangue,51,46,manhã,25.6,não,oeste,4,lado_a_lado,branca,branca,não,lavanda,nenhuma,vinho,cacto,nenhuma,11,53407661545,jan,6,Carlos,umida,28.51
Unidade D,set/2025,imagem,39,41,tarde,16.0,não,sul,3,dispersos,cinza,laranja,não,lavanda,jazz,branco,cacto,norte,10,87188490278,fev,29,Bianca,seca,38.75
Unidade D,nov/2024,alergia,47,49,tarde,20.3,não,leste,4,em_L,vinho,laranja,não,nenhum,nenhuma,branco,nenhum,norte,11,63178782413,jun,2,Carlos,seca,38.71
Unidade E,set/2025,sangue,51,54,manhã,,não,sul,1,em_L,grafite,branca,não,eucalipto,nenhuma,azul_bebe,samambaia,norte,6,18046045151,mar,18,Eduardo,umida,25.6
Unidade F,jan/2024,alergia,36,61,manhã,16.7,não,leste,3,dispersos,branca,amarela,não,eucalipto,rock,vinho,nenhum,sul,11,20238838211,mai,26,Ana,climatizada,39.42
Unidade A,out/2025,hormonal,55,40,manhã,21.6,não,oeste,4,lado_a_lado,vinho,amarela,não,café,rock,azul_bebe,vaso_bambu,leste,6,52115607365,jun,5,Julia,controlada,33.32
Unidade F,dez/2024,hormonal,59,58,manhã,17.7,não,norte,4,em_L,azul_cobalto,branca,não,lavanda,nenhuma,verde_limao,samambaia,leste,10,36933019223,mar,13,José,seca,33.07
Unidade F,dez/2024,sangue,53,67,manhã,21.5,não,oeste,2,lado_a_lado,cinza,azul_cobalto,não,eucalipto,rock,vinho,vaso_bambu,sul,6,33740746716,jan,23,Ana,climatizada,27.06
Unidade B,ago/2024,hormonal,36,52,tarde,22.4,não,norte,3,lado_a_lado,grafite,roxa,não,café,nenhuma,azul_bebe,cacto,oeste,7,46460139543,ago,26,1234,seca,34.25
Unidade A,set/2025,urina,54,49,manhã,,não,norte,1,lado_a_lado,branca,branca,não,nenhum,nenhuma,verde_limao,samambaia,norte,10,37982487798,fev,23,Bianca,seca,19.08
Unidade B,set/2024,sangue,54,53,tarde,24.7,não,sul,1,em_L,vinho,azul_cobalto,não,café,jazz,vinho,vaso_bambu,leste,5,15786734080,ago,27,Eduardo,seca,30.9
Unidade E,ago/2024,alergia,55,42,noite,13.3,não,norte,2,dispersos,azul_cobalto,azul_cobalto,não,nenhum,rock,vinho,cacto,norte,5,41841358656,jul,27,Eduardo,climatizada,38.88
Unidade B,jun/2024,genético,66,62,tarde,30.5,sim,leste,3,lado_a_lado,verde,laranja,não,nenhum,nenhuma,branco,cacto,leste,7,34445391948,jul,10,José,seca,57.64
Unidade A,jan/2024,,41,43,manhã,15.5,não,norte,1,lado_a_lado,grafite,branca,sim,eucalipto,jazz,vinho,samambaia,norte,5,42906152538,jan,9,Nina,umida,17.15
Unidade D,out/2024,,65,63,manhã,19.7,não,sul,3,em_L,laranja,azul_cobalto,não,nenhum,jazz,branco,nenhum,oeste,11,62106343206,mai,28,José,controlada,25.61
Unidade C,out/2024,alergia,36,55,manhã,13.6,não,oeste,2,lado_a_lado,laranja,roxa,não,eucalipto,rock,branco,nenhum,nenhuma,9,71050529331,ago,15,Eduardo,controlada,33.33
Unidade D,out/2024,covid,37,67,tarde,19.1,não,oeste,2,lado_a_lado,azul_cobalto,laranja,não,nenhum,jazz,vinho,samambaia,norte,10,60542207353,mar,30,Eduardo,climatizada,26.62
Unidade C,ago/2024,hormonal,55,54,noite,21.7,,leste,4,em_L,laranja,laranja,não,nenhum,nenhuma,vinho,vaso_bambu,sul,11,25275142062,jan,31,Bianca,controlada,36.84
Unidade F,ago/2025,imagem,46,49,tarde,10.0,não,norte,3,em_L,vinho,verde,não,lavanda,nenhuma,vinho,cacto,norte,8,44524873466,jul,14,Julia,climatizada,33.84
Unidade B,jul/2025,imagem,42,71,manhã,,não,oeste,2,em_L,amarela,branca,não,lavanda,nenhuma,vinho,samambaia,sul,12,44647932136,jan,5,Bianca,controlada,34.76
Unidade C,nov/2025,covid,42,78,manhã,14.3,não,norte,1,lado_a_lado,azul_cobalto,roxa,não,café,pagode_90s,azul_bebe,samambaia,norte,5,79183039227,jan,1,Nina,controlada,25.66
Unidade A,nov/2025,sangue,57,50,tarde,,sim,oeste,4,lado_a_lado,verde,laranja,não,nenhum,jazz,branco,samambaia,leste,5,33347698386,set,1,Julia,seca,37.97
Unidade A,jun/2024,covid,58,77,tarde,24.8,não,oeste,4,dispersos,azul,azul_cobalto,sim,nenhum,nenhuma,branco,cacto,nenhuma,5,73882712293,abr,20,Marcos,controlada,28.69
Unidade A,mai/2025,hormonal,62,47,tarde,22.7,não,leste,4,dispersos,azul_cobalto,roxa,não,lavanda,pagode_90s,verde_limao,vaso_bambu,oeste,8,72373842758,out,21,Marcos,controlada,31.81
Unidade E,dez/2025,genético,50,62,manhã,15.6,não,oeste,3,dispersos,azul,roxa,sim,café,nenhuma,verde_limao,vaso_bambu,sul,8,42961487876,jun,9,1234,seca,43.69
Unidade D,fev/2025,sangue,53,66,tarde,26.1,não,norte,2,dispersos,branca,roxa,não,lavanda,nenhuma,vinho,vaso_bambu,oeste,9,73879757351,out,7,Ana,seca,25.85
Unidade D,out/2024,genético,57,41,manhã,13.7,não,leste,1,dispersos,cinza,amarela,não,café,nenhuma,branco,vaso_bambu,sul,7,91564966322,fev,6,Eduardo,umida,42.13
Unidade F,out/2024,??!!##,39,51,manhã,21.5,não,norte,2,lado_a_lado,cinza,laranja,não,lavanda,nenhuma,branco,nenhum,oeste,12,67561154439,nov,20,José,umida,28.1
Unidade A,mar/2025,imagem,52,51,manhã,16.5,não,leste,3,em_L,azul_cobalto,azul_cobalto,não,nenhum,rock,azul_bebe,nenhum,norte,5,35966666633,set,6,Ana,controlada,35.24
Unidade A,fev/2025,alergia,51,91,tarde,20.5,não,sul,3,lado_a_lado,azul,amarela,não,café,nenhuma,azul_bebe,cacto,nenhuma,9,79964208773,jun,24,1234,umida,42.85
Unidade B,mar/2024,urina,35,59,manhã,22.4,não,sul,3,lado_a_lado,cinza,amarela,não,eucalipto,nenhuma,vinho,samambaia,oeste,5,91851701355,ago,8,Nina,climatizada,24.96
Unidade E,mar/2024,imagem,59,60,noite,,sim,oeste,3,dispersos,azul_cobalto,amarela,não,nenhum,jazz,vinho,cacto,norte,8,49205290640,fev,21,Marcos,controlada,46.05
Unidade F,ago/2025,alergia,47,42,tarde,14.4,não,leste,1,em_L,amarela,branca,sim,eucalipto,rock,vinho,cacto,nenhuma,5,81365732819,jun,3,Marcos,umida,39.79
Unidade F,nov/2025,genético,45,72,manhã,10.1,sim,norte,4,em_L,amarela,laranja,não,eucalipto,nenhuma,verde_limao,nenhum,nenhuma,8,74660580729,jun,23,José,umida,49.1
Unidade F,nov/2025,covid,60,71,manhã,13.4,não,oeste,1,lado_a_lado,branca,verde,não,lavanda,pagode_90s,verde_limao,cacto,norte,12,16626798328,jul,16,Marcos,controlada,27.52
Unidade D,jul/2025,imagem,51,63,tarde,11.6,não,oeste,1,dispersos,grafite,roxa,não,eucalipto,nenhuma,azul_bebe,nenhum,sul,7,87330939824,mar,23,Bianca,seca,31.64
Unidade B,mar/2024,sangue,44,71,tarde,12.6,não,leste,1,lado_a_lado,azul_cobalto,roxa,não,café,pagode_90s,branco,nenhum,oeste,9,91159393840,nov,4,1234,seca,23.25
Unidade F,mai/2024,sangue,39,52,noite,23.8,sim,leste,3,em_L,verde,azul_cobalto,não,nenhum,nenhuma,vinho,vaso_bambu,norte,6,96899944911,jun,15,Ana,seca,37.34
Unidade A,ago/2025,genético,52,58,tarde,24.0,não,sul,2,lado_a_lado,azul_cobalto,verde,não,café,jazz,azul_bebe,cacto,oeste,11,57903960606,set,4,1234,controlada,43.75
Unidade E,set/2024,hormonal,57,58,manhã,22.1,,oeste,3,lado_a_lado,grafite,roxa,não,nenhum,rock,azul_bebe,cacto,oeste,9,83660982818,abr,19,Eduardo,climatizada,31.25
Unidade F,jul/2024,sangue,46,40,noite,16.4,não,norte,2,lado_a_lado,azul_cobalto,branca,não,eucalipto,rock,azul_bebe,vaso_bambu,nenhuma,11,83423146427,out,7,Ana,seca,21.56
Unidade B,mar/2024,alergia,52,76,manhã,19.2,não,sul,4,dispersos,branca,verde,não,café,rock,branco,vaso_bambu,sul,5,90393675795,dez,29,Nina,umida,38.22
Unidade A,jun/2024,covid,52,50,manhã,14.5,não,norte,4,dispersos,vinho,verde,não,nenhum,nenhuma,branco,nenhum,sul,8,36443015241,mar,5,Eduardo,controlada,23.39
Unidade D,jun/2024,urina,52,72,manhã,,não,sul,2,dispersos,amarela,branca,não,lavanda,jazz,verde_limao,vaso_bambu,leste,5,57130226913,set,28,José,climatizada,21.66
Unidade F,jul/2024,sangue,53,70,manhã,16.7,não,oeste,3,em_L,azul_cobalto,branca,não,lavanda,jazz,azul_bebe,vaso_bambu,norte,9,12883381187,nov,17,Nina,controlada,25.41
Unidade D,nov/2025,genético,51,49,tarde,,não,leste,2,dispersos,azul_cobalto,amarela,não,lavanda,rock,branco,cacto,leste,7,99201724216,ago,13,Eduardo,seca,42.63
Unidade F,set/2025,urina,38,72,tarde,18.5,sim,norte,4,em_L,cinza,branca,não,café,jazz,branco,samambaia,oeste,10,25991344813,ago,2,Carlos,seca,32.92
Unidade C,jun/2024,covid,53,65,manhã,21.3,não,oeste,1,dispersos,vinho,azul_cobalto,não,eucalipto,pagode_90s,branco,cacto,leste,6,99935930608,jun,7,1234,seca,28.39
Unidade A,mar/2024,imagem,63,78,tarde,20.3,sim,oeste,3,em_L,branca,roxa,não,café,pagode_90s,vinho,samambaia,sul,7,25911116450,fev,26,Eduardo,umida,46.88
Unidade D,fev/2025,imagem,39,58,manhã,21.1,não,norte,2,dispersos,vinho,verde,sim,nenhum,rock,verde_limao,cacto,norte,10,83194665290,dez,6,1234,seca,33.77
Unidade C,ago/2024,genético,52,49,manhã,22.7,,sul,3,lado_a_lado,azul,roxa,não,eucalipto,jazz,verde_limao,nenhum,sul,5,86114165861,jul,20,Nina,seca,39.13
Unidade A,mar/2025,urina,46,59,tarde,15.7,,sul,3,lado_a_lado,azul,branca,sim,eucalipto,jazz,verde_limao,samambaia,oeste,12,55743203653,abr,5,1113,climatizada,23.76
Unidade D,out/2025,imagem,50,62,tarde,16.4,não,norte,2,dispersos,grafite,branca,não,lavanda,nenhuma,branco,vaso_bambu,leste,8,70205556344,abr,8,Julia,controlada,35.51
Unidade E,jan/2024,alergia,59,66,tarde,21.5,não,norte,4,dispersos,azul,roxa,sim,eucalipto,nenhuma,azul_bebe,nenhum,leste,11,80593418794,set,13,Ana,seca,39.74
Unidade E,abr/2025,sangue,50,46,tarde,20.6,não,oeste,3,em_L,branca,branca,não,eucalipto,rock,branco,nenhum,sul,12,77464386640,set,28,Julia,controlada,22.19
Unidade F,jun/2025,,51,53,tarde,19.2,não,leste,1,dispersos,branca,branca,não,lavanda,nenhuma,branco,vaso_bambu,leste,5,75696344018,ago,16,Carlos,umida,25.06
Unidade B,out/2025,sangue,32,67,manhã,9.5,não,norte,1,dispersos,azul_cobalto,branca,não,eucalipto,rock,azul_bebe,cacto,leste,8,38994689897,set,21,Ana,umida,18.43
Unidade A,jun/2025,hormonal,36,63,manhã,19.5,não,norte,1,dispersos,grafite,verde,não,lavanda,pagode_90s,vinho,vaso_bambu,nenhuma,7,96438746664,jul,13,José,seca,29.41
Unidade D,jan/2025,urina,39,67,noite,13.5,sim,oeste,3,lado_a_lado,cinza,branca,não,nenhum,nenhuma,azul_bebe,vaso_bambu,oeste,6,10682236336,mar,7,Eduardo,umida,31.43
Unidade A,fev/2025,sangue,40,67,noite,23.2,sim,leste,1,lado_a_lado,cinza,amarela,não,lavanda,nenhuma,azul_bebe,samambaia,norte,11,44725325862,fev,4,Ana,controlada,34.68
Unidade C,out/2024,sangue,50,50,tarde,19.5,não,leste,1,lado_a_lado,azul,amarela,não,lavanda,nenhuma,vinho,samambaia,norte,8,31299193391,dez,15,Bianca,controlada,23.93
Unidade B,set/2025,covid,56,63,manhã,,não,oeste,2,lado_a_lado,verde,verde,não,eucalipto,nenhuma,azul_bebe,samambaia,oeste,7,86950556281,set,8,Carlos,seca,23.13
Unidade D,mar/2025,genético,58,75,manhã,19.2,não,oeste,4,lado_a_lado,grafite,verde,não,nenhum,rock,verde_limao,cacto,oeste,5,21805763338,mai,18,Marcos,seca,47.33
Unidade E,ago/2024,sangue,60,47,noite,9.6,sim,leste,4,lado_a_lado,amarela,roxa,não,café,jazz,verde_limao,cacto,oeste,7,21531707985,ago,7,Eduardo,seca,31.42
Unidade B,set/2024,sangue,42,64,noite,26.7,não,leste,3,lado_a_lado,laranja,azul_cobalto,não,nenhum,rock,azul_bebe,nenhum,leste,6,76694898125,jul,15,Ana,climatizada,30.19
Unidade F,set/2024,sangue,44,51,tarde,15.3,,sul,1,dispersos,azul_cobalto,branca,não,lavanda,rock,verde_limao,samambaia,sul,12,74946615764,mar,1,Carlos,climatizada,22.3
Unidade C,nov/2024,genético,56,78,tarde,23.6,não,oeste,2,em_L,laranja,laranja,não,lavanda,jazz,vinho,vaso_bambu,norte,12,45514592805,ago,8,Bianca,controlada,45.37
Unidade C,abr/2025,hormonal,44,42,manhã,20.4,não,sul,4,em_L,azul,branca,não,lavanda,jazz,branco,samambaia,sul,5,17437673739,jan,9,Carlos,seca,33.2
Unidade D,ago/2024,covid,51,65,noite,19.4,não,sul,1,lado_a_lado,laranja,azul_cobalto,não,nenhum,rock,verde_limao,vaso_bambu,nenhuma,12,59903277611,set,26,José,umida,24.71
Unidade D,jan/2025,sangue,47,73,manhã,18.7,sim,sul,3,dispersos,laranja,amarela,não,nenhum,nenhuma,vinho,samambaia,sul,5,50114124619,jun,29,Eduardo,seca,31.58
Unidade D,nov/2025,hormonal,48,62,tarde,19.7,não,norte,1,dispersos,cinza,verde,sim,eucalipto,nenhuma,verde_limao,samambaia,leste,7,87572315607,nov,7,José,climatizada,36.91
Unidade E,dez/2025,sangue,38,91,noite,16.6,não,norte,2,em_L,laranja,verde,não,nenhum,rock,verde_limao,vaso_bambu,norte,10,28693966207,ago,3,Bianca,umida,26.86
Unidade D,jun/2025,,47,46,tarde,18.6,não,norte,3,lado_a_lado,azul,verde,não,lavanda,rock,verde_limao,nenhum,norte,7,40599362729,dez,9,José,climatizada,24.0
Unidade A,jul/2024,hormonal,48,65,tarde,17.1,não,leste,4,lado_a_lado,grafite,branca,não,café,jazz,vinho,nenhum,norte,6,86897106328,dez,15,Julia,climatizada,34.78
Unidade A,jun/2024,urina,63,55,noite,10.6,,norte,4,dispersos,grafite,laranja,não,lavanda,nenhuma,branco,samambaia,leste,9,44543076958,jan,25,Nina,controlada,23.9
Unidade B,fev/2025,imagem,53,37,manhã,19.8,,oeste,2,dispersos,vinho,azul_cobalto,não,eucalipto,rock,azul_bebe,cacto,oeste,5,87019995123,mar,8,1234,seca,40.5
Unidade D,out/2025,covid,62,50,manhã,21.6,não,leste,3,lado_a_lado,amarela,azul_cobalto,sim,café,rock,azul_bebe,cacto,norte,10,56527060836,dez,23,Bianca,umida,30.45
Unidade C,jul/2024,urina,56,64,manhã,17.0,não,norte,2,lado_a_lado,cinza,azul_cobalto,não,eucalipto,nenhuma,branco,nenhum,leste,5,53968279090,set,26,José,seca,22.58
Unidade A,mar/2024,alergia,49,68,tarde,15.8,não,oeste,4,dispersos,azul,roxa,não,lavanda,nenhuma,branco,nenhum,nenhuma,6,27138821812,mai,6,Nina,controlada,37.7
Unidade C,abr/2025,alergia,62,74,manhã,22.6,não,oeste,2,dispersos,GRAFITE #007,branca,sim,café,rock,verde_limao,vaso_bambu,oeste,10,35040488194,dez,6,José,controlada,42.01
Unidade A,abr/2025,,48,66,manhã,16.2,não,norte,4,dispersos,verde,azul_cobalto,não,eucalipto,rock,verde_limao,vaso_bambu,norte,8,16895685547,ago,14,Marcos,umida,22.64
Unidade F,out/2024,,52,73,manhã,16.6,não,leste,4,dispersos,branca,azul_cobalto,não,nenhum,nenhuma,branco,nenhum,leste,11,85093300085,nov,9,José,climatizada,25.07
Unidade D,ago/2025,imagem,56,51,tarde,15.0,sim,oeste,1,lado_a_lado,verde,laranja,não,café,rock,azul_bebe,cacto,leste,7,88240671463,mar,23,Julia,umida,47.9
Unidade C,mar/2024,genético,44,59,manhã,16.6,não,norte,3,em_L,laranja,verde,não,café,jazz,verde_limao,cacto,norte,10,39810300777,jul,30,Bianca,seca,36.12
Unidade B,fev/2025,genético,48,68,manhã,11.8,não,sul,1,em_L,amarela,roxa,não,nenhum,nenhuma,verde_limao,nenhum,nenhuma,9,84510256422,mai,17,Ana,climatizada,40.02
Unidade C,ago/2025,alergia,45,55,manhã,21.0,não,norte,4,em_L,azul_cobalto,branca,não,eucalipto,rock,azul_bebe,vaso_bambu,nenhuma,8,97567874464,mar,2,Bianca,seca,40.78
Unidade D,dez/2025,,40,66,noite,20.2,não,oeste,4,lado_a_lado,laranja,azul_cobalto,não,lavanda,nenhuma,vinho,nenhum,leste,9,75434527361,jan,11,Julia,climatizada,37.46
Unidade B,fev/2025,alergia,45,38,noite,24.3,não,oeste,1,em_L,amarela,roxa,não,eucalipto,jazz,vinho,nenhum,leste,10,96467880282,out,21,Nina,controlada,42.92
Unidade F,dez/2024,hormonal,48,44,manhã,17.0,não,oeste,4,dispersos,azul,amarela,não,lavanda,jazz,branco,cacto,nenhuma,6,99139231917,jun,23,1234,climatizada,35.01
Unidade F,mar/2024,sangue,45,56,manhã,20.7,sim,norte,3,lado_a_lado,grafite,azul_cobalto,não,nenhum,jazz,branco,nenhum,sul,7,14529204216,jun,31,Carlos,seca,33.0
Unidade B,mar/2025,sangue,54,69,noite,20.0,sim,leste,2,dispersos,amarela,verde,sim,eucalipto,nenhuma,vinho,vaso_bambu,leste,6,15152780977,mai,4,Julia,umida,34.15
Unidade C,jul/2024,covid,47,50,noite,16.6,,sul,4,dispersos,grafite,laranja,não,lavanda,nenhuma,verde_limao,vaso_bambu,oeste,6,96539215355,abr,16,Nina,seca,25.67
Unidade A,jan/2025,covid,61,74,tarde,13.6,sim,sul,3,dispersos,cinza,branca,não,nenhum,rock,branco,cacto,norte,8,63166885867,mai,19,Bianca,climatizada,34.85
Unidade E,nov/2025,genético,49,55,manhã,18.7,não,leste,3,em_L,vinho,roxa,não,café,pagode_90s,vinho,vaso_bambu,oeste,10,42449835513,nov,6,Bianca,climatizada,41.75
Unidade F,out/2024,urina,62,53,manhã,15.4,não,leste,3,em_L,grafite,verde,não,café,nenhuma,vinho,samambaia,leste,6,46963478672,mar,10,Carlos,umida,23.57
Unidade E,jun/2025,sangue,65,85,noite,19.3,não,sul,4,lado_a_lado,branca,amarela,não,nenhum,nenhuma,verde_limao,cacto,nenhuma,6,30756134474,jan,31,Marcos,climatizada,21.19
Unidade E,fev/2024,genético,47,55,manhã,19.9,não,leste,3,dispersos,azul,azul_cobalto,não,eucalipto,nenhuma,verde_limao,samambaia,nenhuma,5,11258257186,nov,3,Nina,umida,45.35
Unidade D,mar/2024,urina,56,58,manhã,11.2,não,leste,2,lado_a_lado,cinza,amarela,não,lavanda,jazz,verde_limao,cacto,norte,9,43700175062,jan,13,José,climatizada,20.33
Unidade C,fev/2024,,58,62,manhã,15.3,não,oeste,4,lado_a_lado,amarela,branca,não,eucalipto,nenhuma,vinho,samambaia,sul,9,63022020842,jul,3,Julia,umida,22.1
Unidade F,nov/2025,urina,43,55,tarde,16.2,,sul,2,em_L,branca,roxa,não,lavanda,rock,verde_limao,vaso_bambu,nenhuma,5,89965344683,dez,16,Marcos,climatizada,23.03
Unidade F,ago/2024,urina,45,64,tarde,15.8,não,leste,2,lado_a_lado,grafite,roxa,não,eucalipto,jazz,azul_bebe,vaso_bambu,oeste,11,82081520426,mar,20,Julia,controlada,21.9
Unidade B,jun/2024,covid,42,51,tarde,,sim,oeste,4,dispersos,verde,azul_cobalto,não,eucalipto,rock,branco,vaso_bambu,norte,5,67442876159,abr,10,Marcos,umida,36.64
Unidade B,nov/2025,genético,47,67,noite,15.8,não,leste,1,lado_a_lado,vinho,branca,não,eucalipto,jazz,branco,vaso_bambu,oeste,9,59352797114,set,11,José,climatizada,42.55
Unidade E,fev/2024,urina,52,64,tarde,20.1,não,oeste,2,em_L,grafite,verde,não,lavanda,nenhuma,vinho,nenhum,norte,8,27414624073,dez,26,Marcos,controlada,20.74
Unidade A,jun/2024,sangue,36,60,noite,11.7,não,leste,3,dispersos,laranja,roxa,não,nenhum,nenhuma,vinho,vaso_bambu,nenhuma,11,83996760391,dez,29,Ana,climatizada,23.61
Unidade C,ago/2025,urina,48,67,manhã,18.8,não,norte,2,lado_a_lado,amarela,verde,não,nenhum,jazz,azul_bebe,cacto,sul,11,12977845555,ago,19,1234,controlada,22.72
Unidade F,dez/2024,genético,66,71,tarde,21.7,não,leste,1,dispersos,branca,verde,não,café,rock,verde_limao,vaso_bambu,oeste,11,37536310481,nov,4,Julia,seca,47.4
Unidade A,out/2024,covid,47,70,manhã,19.8,não,leste,2,dispersos,verde,roxa,não,lavanda,nenhuma,branco,cacto,sul,12,36730369766,jan,5,Bianca,seca,23.81
Unidade C,out/2024,covid,57,58,tarde,20.1,não,oeste,3,lado_a_lado,azul,branca,sim,nenhum,rock,branco,samambaia,leste,8,57359109384,mai,21,Nina,seca,26.95
Unidade D,jun/2024,sangue,55,73,manhã,15.4,sim,leste,1,lado_a_lado,branca,roxa,não,eucalipto,nenhuma,vinho,cacto,nenhuma,5,53213897448,fev,11,Eduardo,seca,33.03
Unidade B,out/2024,urina,54,71,manhã,16.7,sim,leste,3,dispersos,azul,laranja,não,eucalipto,nenhuma,verde_limao,nenhum,norte,12,67216584870,jul,5,Julia,controlada,29.76
Unidade A,ago/2025,sangue,55,53,noite,15.5,sim,norte,3,lado_a_lado,grafite,branca,não,nenhum,nenhuma,branco,vaso_bambu,nenhuma,12,83242053282,nov,21,Eduardo,controlada,34.65
Unidade B,ago/2025,imagem,39,43,noite,23.6,não,norte,1,dispersos,branca,azul_cobalto,não,lavanda,nenhuma,vinho,samambaia,sul,9,27949349808,out,1,Carlos,seca,40.05
Unidade B,abr/2024,imagem,43,49,manhã,12.2,não,leste,1,lado_a_lado,vinho,roxa,não,eucalipto,nenhuma,azul_bebe,vaso_bambu,sul,7,53667847611,jun,25,Nina,umida,31.55
Unidade A,mar/2025,imagem,50,69,manhã,18.2,não,sul,4,em_L,verde,branca,não,café,rock,vinho,samambaia,nenhuma,7,54281369367,jun,30,José,controlada,32.86
Unidade F,jan/2024,urina,50,47,manhã,26.0,não,oeste,2,lado_a_lado,laranja,laranja,não,nenhum,rock,branco,cacto,sul,8,30927549937,mar,29,Eduardo,umida,25.07
